thigmotperc,lean,locom,defec,groomfr,rear,groomdur,jump,thigmodperc,groombout,labels
74,64,9359,5,16,38,320,0,49.52452185,20,male
78,57,8482,6,12,44,76,0,65.0789908,6.333333333,male
47,71,13199,6,12,27,37,0,38.51049322,3.083333333,male
47,46,10257,4,6,30,24,0,33.41132885,4,male
54,93,9293,8,20,19,133,0,54.18056602,6.65,male
68,107,11740,8,16,28,58,19,61.439523,3.625,male
50,62,11450,3,13,116,41,0,45.25764192,3.153846154,male
61,84,8042,2,7,94,31,6,50.95747327,4.428571429,male
74,80,9681,4,12,71,142,3,52.65984919,11.83333333,male
95,43,5502,4,12,5,93,0,88.3133406,7.75,male
56,63,8067,6,17,80,86,1,51.3077972,5.058823529,male
32,32,7287,8,16,48,402,0,30.68478112,25.125,male
55,61,7566,6,9,30,169,1,54.29553265,18.77777778,male
100,36,4047,5,10,1,226,0,99.23400049,22.6,male
44,39,9617,3,2,178,34,3,35.08370594,17,male
90,66,6593,6,8,23,52,0,83.57348703,6.5,male
87,36,4024,7,14,7,101,0,74.17992048,7.214285714,male
66,8,6995,8,3,10,22,0,61.88706219,7.333333333,male
70,4,13090,6,7,90,31,0,61.42093201,4.428571429,male
52,66,10099,5,4,71,17.68,0,43.47955243,4.42,male
44,82,11988,6,4,46,15.52,0,34.30096763,3.88,male
78,124,15154,10,10,47,61.52,0,64.50442128,6.152,male
71,103,14811,10,14,70,124.48,0,55.28998717,8.891428571,male
74,21,5797,0,14,39,268,0,56.73624288,19.14285714,male
54,25,5619,0,9,18,223,0,46.12920449,24.77777778,male
60,95,13217,8,8,87,26,0,47.74154498,3.25,male
72,102,12847,2,13,17,53,0,61.75760878,4.076923077,male
74,63,12371,5,8,25,31.44,0,67.75523402,3.93,male
74,44,6945,6,19,7,89.68,0,71.83585313,4.72,male
74,100,9197,1,6,43,42.8,3,63.22713929,7.133333333,male
60,76,12856,0,12,85,44.16,0,56.84505289,3.68,male
44,56,10890,0,6,67,37.2,0,36.4738292,6.2,male
56,41,12128,3,5,33,57.92,0,44.36015831,11.584,male
79,77,8691,6,7,23,42.72,39,63.82464619,6.102857143,male
58,67,8102,9,7,9,68.72,0,51.2959763,9.817142857,male
73,82,9780,3,10,10,69.28,0,68.93660532,6.928,male
72,64,7735,2,4,9,15.68,0,59.76729153,3.92,male
43,73,11666,11,14,151,59.84,0,37.49357106,4.274285714,male
61,117,10584,4,10,121,61.2,0,46.63643235,6.12,male
74,58,7626,0,4,36,3.44,0,71.28245476,0.86,male
86,103,7529,0,15,14,172.96,0,80.18329127,11.53066667,male
45,44,6106,4,19,32,82.08,0,54.09433344,4.32,male
58,38,5413,1,8,28,64.16,0,62.183632,8.02,male
70,86,9750,7,12,103,137.6,2,53.90769231,11.46666667,male
64,48,8042,4,7,36,25.36,0,52.35016165,3.622857143,male
54,39,9557,1,6,60,26.08,0,44.98273517,4.346666667,male
78,111,11752,2,4,37,11.76,0,69.5115725,2.94,male
64,77,10790,0,5,23,18.96,0,55.79240037,3.792,male
77,129,13057,0,9,51,40.24,0,68.77536953,4.471111111,male
77,113,11548,1,8,60,46.64,14,69.69172151,5.83,male
62,76,9745,0,6,34,43.24,0,51.81118522,7.206666667,male
85,83,10538,0,8,13,60.24,0,75.10912887,7.53,male
48,20,5706,7,8,46,105.36,0,42.7444795,13.17,male
52,48,10003,0,5,150,52.8,2,46.14615615,10.56,male
73,101,10046,6,7,20,25.6,0,69.79892495,3.657142857,male
57,59,11360,10,3,44,20.88,0,43.89084507,6.96,male
71,107,11447,7,8,74,134.56,2,60.54861536,16.82,male
86,116,7569,3,6,85,25.52,0,96.72347734,4.253333333,male
81,118,9545,2,7,57,28.56,0,72.46726035,4.08,male
67,58,9543,8,5,40,39.04,0,53.36896154,7.808,male
84,63,8841,2,10,15,111.2,0,73.72469178,11.12,male
74,51,7056,6,12,10,96.24,0,66.01473923,8.02,male
82,43,6596,7,11,31,104.4,0,72.43784112,9.490909091,male
90,76,6450,5,10,38,241.2,0,83.92248062,24.12,male
86,43,4348,3,10,34,251.12,0,78.31186753,25.112,male
76,59,5937,8,4,1,64.64,0,85.53141317,16.16,male
89,79,8298,5,7,10,115.68,0,87.08122439,16.52571429,male
63,48,8898,4,9,41,70.24,0,49.49426838,7.804444444,male
74,105,10893,0,9,52,14.48,0,69.69613513,1.608888889,male
37,75,14043,1,2,111,30.64,9,38.04030478,15.32,male
70,79,5754,7,11,20,196.88,3,72.81890859,17.89818182,male
50,56,7992,4,10,32,94.32,1,39.4019019,9.432,male
70,120,10045,4,18,76,86.08,3,52.18516675,4.782222222,male
72,155,12843,1,2,43,3.92,3,60.26629292,1.96,male
61,97,10807,4,4,126,19.36,8,53.19700194,4.84,male
64,96,11429,4,3,158,43.44,24,52.20929215,14.48,male
67,70,11149,7,6,28,28.8,0,69.00170419,4.8,male
50,70,11895,4,4,24,19.68,0,51.44178226,4.92,male
67,67,6122,10,8,49,93.04,0,60.16007841,11.63,male
65,78,7175,6,16,111,76.72,1,48.58536585,4.795,male
54,101,9609,2,5,53,51.68,0,53.26256634,10.336,male
78,99,7258,3,8,62,40.96,0,75.47533756,5.12,male
54,22,6281,0,7,1,58.16,0,55.34150613,8.308571429,male
83,85,7904,0,7,1,49.52,0,80.54149798,7.074285714,male
67,114,10836,1,11,6,46.4,0,68.34625323,4.218181818,male
78,97,8587,2,9,16,66.8,0,72.66798649,7.422222222,male
40,58,11583,0,3,7,3.84,0,29.43969611,1.28,male
56,88,13022,0,5,30,7.2,0,49.62371372,1.44,male
56,155,8278,10,6,124,141.44,1,47.95844407,23.57333333,male
51,54,12727,0,8,90,27.44,51,46.5388544,3.43,male
57,34,10725,5,2,88,12.16,58,50.37762238,6.08,male
60,84,9971,8,10,74,96.8,0,55.75167987,9.68,male
43,35,9908,8,11,142,147.28,2,37.92894631,13.38909091,male
66,105,11705,0,12,99,170.4,15,49.03032892,14.2,male
77,118,9611,1,7,26,80.48,4,69.24357507,11.49714286,male
53,77,11181,5,12,7,44.48,0,46.92782399,3.706666667,male
58,140,12016,7,4,64,22.48,0,48.22736352,5.62,male
80,152,8721,2,6,76,127.68,45,75.57619539,21.28,male
77,53,8463,5,12,13,130.8,0,65.09511993,10.9,male
61,64,12685,3,3,80,23.04,0,56.01891998,7.68,male
46,44,13530,1,3,80,21.68,16,38.81005174,7.226666667,male
55,68,11788,7,11,65,47.36,0,45.3003054,4.305454546,male
46,76,14169,2,2,78,30.88,7,45.38076082,15.44,male
56,102,12819,2,1,70,131.44,0,55.10570247,131.44,male
72,83,8591,4,2,35,65.92,0,72.99499476,32.96,male
63,65,9467,5,4,27,30.8,0,59.31129186,7.7,male
47,66,11227,1,2,128,10.96,0,35.37899706,5.48,male
54,63,8537,8,10,46,84.32,0,45.06266839,8.432,male
66,104,10844,0,10,47,56.64,0,63.76798229,5.664,male
75,123,10186,0,3,8,20.4,55,70.29255841,6.8,male
54,89,15383,0,3,86,20.88,1,49.65871417,6.96,male
48,53,12818,6,2,34,19.52,0,52.37946638,9.76,male
71,116,9976,15,6,19,46.72,2,70.41900561,7.786666667,male
52,61,11206,5,5,54,30.08,3,47.5638051,6.016,male
63,74,16323,3,4,65,34.88,7,60.20339398,8.72,male
54,169,11903,5,5,96,20.08,14,48.96244644,4.016,male
38,79,12119,0,3,145,54.64,3,44.96245565,18.21333333,male
55,81,11213,3,10,128,62.32,0,41.9423883,6.232,male
49,75,15917,8,11,56,52.24,0,44.09750581,4.749090909,male
68,136,13701,6,5,33,52.24,0,59.11247354,10.448,male
55,41,7407,8,12,49,47.04,0,55.58255704,3.92,male
55,52,8487,3,12,36,63.92,0,56.29786733,5.326666667,male
53,92,11361,5,1,38,0.48,0,49.36185195,0.48,male
58,80,12632,2,3,21,1.6,0,48.61462951,0.533333333,male
64,60,12680,5,5,171,22.24,0,61.86908517,4.448,male
71,56,9161,4,7,69,33.76,0,67.67820107,4.822857143,male
51,78,9632,4,10,114,48.64,0,41.10257475,4.864,male
69,60,7540,5,5,31,62.8,0,57.37400531,12.56,male
61,65,12589,4,3,112,23.92,23,55.37373898,7.973333333,male
64,77,10607,2,7,65,37.68,0,59.70585462,5.382857143,male
63,67,7141,3,8,58,100.96,1,50.10502731,12.62,male
67,50,10345,5,5,24,27.92,0,66.76655389,5.584,male
81,105,11312,2,7,10,32.16,0,79.76485149,4.594285714,male
59,59,12321,0,9,24,37.84,69,52.39022807,4.204444444,male
66,161,14444,4,2,99,1.76,48,58.34948768,0.88,male
78,74,11475,0,2,42,14.24,0,74.84095861,7.12,male
84,126,12614,3,8,41,73.52,0,76.00285397,9.19,male
56,29,7410,8,3,24,19.68,0,47.3414305,6.56,male
70,73,8433,4,7,46,34.16,0,58.44895055,4.88,male
54,59,12120,8,6,70,36.64,0,42.73927393,6.106666667,male
77,18,7363,4,9,25,60.72,0,64.13146815,6.746666667,male
70,72,9697,0,4,78,14.8,10,62.53480458,3.7,male
73,121,12312,4,6,61,42.16,18,63.70207927,7.026666667,male
68,27,6446,0,7,89,150,0,53.53707726,21.42857143,male
63,100,7382,0,7,72,167.76,0,54.63289082,23.96571429,male
52,30,5953,6,7,8,34.56,0,56.57651604,4.937142857,male
2,0,4167,0,9,15,151.6,0,2.447804176,16.84444444,male
65,94,11825,2,3,84,14.88,0,54.22410148,4.96,male
70,104,12338,0,2,48,8.64,0,62.09272167,4.32,male
67,63,9472,6,9,100,55.2,16,52.7660473,6.133333333,male
66,59,9731,6,5,101,31.44,9,56.30459357,6.288,male
44,77,17448,3,8,101,29.36,0,35.67744154,3.67,male
49,54,13743,0,6,81,28.16,0,38.83431565,4.693333333,male
48,64,13257,0,6,100,56.88,0,34.90985894,9.48,male
56,63,13064,0,12,54,118.24,0,46.68554807,9.853333333,male
81,125,9163,2,9,66,48,0,70.80650442,5.333333333,male
83,106,9432,5,6,47,25.04,0,80.70398643,4.173333333,male
68,73,10276,8,3,34,46.4,0,54.49591281,15.46666667,male
57,91,10121,10,2,80,21.84,0,44.63985772,10.92,male
77,61,9145,2,4,29,32.56,0,71.09896118,8.14,male
72,132,12760,4,6,56,32.24,0,60.28996865,5.373333333,male
59,33,14271,4,4,135,21.04,0,51.06860066,5.26,male
42,36,7027,4,3,11,24.16,0,41.9809307,8.053333333,male
73,70,6537,0,3,43,85.2,24,66.98791495,28.4,male
75,62,8412,5,9,20,120.8,2,61.48359486,13.42222222,male
57,73,8941,4,6,70,152.16,5,42.08701488,25.36,male
94,86,6611,17,3,12,27.28,0,89.54772349,9.093333333,male
61,66,7787,5,2,24,17.12,0,66.70091178,8.56,male
72,85,16316,2,5,9,42.96,1,64.2804609,8.592,male
70,62,14536,0,8,25,47.44,0,60.66318107,5.93,male
54,42,9474,3,8,47,72.8,0,47.21342622,9.1,male
65,80,9638,8,5,34,41.92,0,54.8765304,8.384,male
62,75,11458,3,4,59,27.2,0,42.89579333,6.8,male
65,69,9395,7,4,35,44.4,0,44.87493348,11.1,male
85,76,8518,0,1,7,10.32,0,83.83423339,10.32,male
90,81,8494,0,2,19,25.68,0,83.36472804,12.84,male
63,89,12300,1,4,45,50.64,0,55.99186992,12.66,male
65,114,15661,0,1,40,3.92,36,58.61694656,3.92,male
56,68,9024,6,1,103,12,0,42.25398936,12,male
62,52,8017,8,5,44,35.84,0,50.00623675,7.168,male
69,80,14184,3,4,68,16.4,0,62.46474901,4.1,male
62,83,11352,4,1,88,5.92,1,57.51409443,5.92,male
67,41,12377,3,5,69,27.12,0,52.83994506,5.424,male
61,57,14226,5,5,33,16.32,0,49.7961479,3.264,male
73,86,14780,0,2,111,16.48,2,62.60487145,8.24,male
69,84,8416,4,4,31,22,0,54.15874525,5.5,male
58,56,9832,7,7,26,43.76,0,53.87510171,6.251428571,male
80,97,9679,1,10,13,54.64,0,70.03822709,5.464,male
72,101,11789,1,6,92,52.96,0,55.6875053,8.826666667,male
25,19,9182,8,5,83,56.32,0,19.47288173,11.264,male
63,113,11196,5,6,96,25.44,2,57.86888174,4.24,male
79,27,4415,5,7,5,322.56,0,74.38278596,46.08,male
85,46,5963,4,6,19,125.28,0,77.99765219,20.88,male
69,97,10721,5,3,89,18.48,0,57.84908124,6.16,male
65,115,11518,4,6,74,24.4,0,56.94565029,4.066666667,male
72,185,7994,5,10,72,66.16,19,71.05328997,6.616,male
64,161,8329,0,3,65,40.8,19,58.4944171,13.6,male
78,77,9686,9,5,41,134.56,0,57.73281024,26.912,male
65,66,8733,6,5,41,115.2,0,51.76915149,23.04,male
59,137,8897,0,6,67,122.72,0,52.83803529,20.45333333,male
67,112,8858,2,5,64,40.48,1,52.52878754,8.096,male
69,83,9776,6,12,51,91.52,0,55.3089198,7.626666667,male
72,100,8681,5,5,42,66.96,0,52.95472872,13.392,male
84,108,12622,10,7,12,144.48,19,74.82173982,20.64,male
58,83,14232,5,4,71,25.2,3,53.31646993,6.3,male
70,99,11697,0,4,61,54.96,8,64.26434128,13.74,male
67,73,11617,4,4,41,38.88,0,59.35267281,9.72,male
87,91,6933,8,6,92,54.72,12,74.74397808,9.12,male
76,75,7950,11,3,83,27.28,0,65.01886793,9.093333333,male
64,111,10445,7,4,3,26.48,4,58.46816659,6.62,male
70,144,13323,6,6,77,27.04,4,63.16145012,4.506666667,male
51,56,13040,0,11,54,92.24,0,45,8.385454546,male
49,61,11368,4,6,39,34,0,39.1713582,5.666666667,male
61,108,14080,2,4,17,36.64,0,53.26704546,9.16,male
63,65,10638,1,3,26,71.76,0,55.7999624,23.92,male
78,143,11185,4,8,19,19.76,0,73.1426017,2.47,male
84,104,7547,5,6,69,42.88,0,73.96316417,7.146666667,male
72,153,10754,0,4,65,28.96,0,61.5212944,7.24,male
68,108,10224,12,12,40,80.88,0,54.37206573,6.74,male
89,144,10138,8,19,40,183.12,1,73.88044979,9.637894737,male
85,96,8360,8,14,13,157.84,0,80.82535885,11.27428571,male
83,123,9538,10,13,75,115.6,0,68.6307402,8.892307692,male
71,181,15311,10,12,57,33.36,1,60.50551891,2.78,male
62,71,9107,5,8,83,97.04,0,51.72943889,12.13,male
63,70,9578,3,3,117,11.84,1,51.99415327,3.946666667,male
80,57,7215,10,8,104,100.24,0,63.99168399,12.53,male
75,78,6523,7,6,31,72.48,0,54.16219531,12.08,male
64,116,12561,0,5,71,38.32,4,53.57853674,7.664,male
66,162,17520,0,2,31,27.36,15,53.5216895,13.68,male
63,82,9145,12,7,41,95.76,1,54.8168398,13.68,male
67,129,8839,9,7,28,52,2,66.33103292,7.428571429,male
81,159,12652,5,11,113,64.96,44,72.19411951,5.905454546,male
80,130,12372,0,4,70,25.2,10,69.13999353,6.3,male
66,63,10312,2,0,10,0,8,53.60744763,0,male
95,43,3279,1,0,2,0,0,80.63433974,0,male
81,123,8797,9,0,80,0,3,69.25088098,0,male
62,112,11488,0,2,90,0.88,4,49.77367688,0.44,male
67,140,12147,9,0,121,0,8,56.03852803,0,male
67,169,11031,4,43,93,10.72,4,60.99175052,0.249302326,male
64,164,8596,0,40,139,13.6,3,62.80828292,0.34,male
73,93,8690,9,0,47,0,9,63.18757192,0,male
68,146,12767,12,0,104,0,11,54.81319026,0,male
74,119,13479,2,6,56,4.4,6,61.83693152,0.733333333,male
67,103,14356,5,1,43,0.24,12,61.6118696,0.24,male
72,99,14095,13,0,40,0,17,60.19155729,0,male
68,127,13761,10,0,81,0,6,60.66419592,0,male
80,98,8547,3,0,36,0,8,72.28267228,0,male
71,96,8157,5,0,20,0,10,71.10457276,0,male
69,101,12034,5,0,44,0,3,60.511883,0,male
68,103,11299,5,0,18,0,5,54.83671121,0,male
73,109,10540,0,3,75,130.72,52,65.03795066,43.57333333,male
80,62,7304,10,3,38,123.6,4,67.20974808,41.2,male
68,80,9425,0,3,43,58.72,0,53.25198939,19.57333333,male
61,76,9657,0,3,102,33.2,3,50.23299161,11.06666667,male
92,108,6757,0,8,28,156.72,0,84.04617434,19.59,male
88,70,7822,2,7,26,78.32,0,83.16287395,11.18857143,male
74,211,12530,4,6,75,57.2,5,63.51157223,9.533333333,male
62,116,9736,8,6,65,51.92,13,56.53245686,8.653333333,male
89,86,6547,4,5,10,99.36,0,74.76706889,19.872,male
88,57,4824,8,6,4,181.6,0,83.83084577,30.26666667,male
56,99,14134,0,3,62,23.52,1,43.78095373,7.84,male
60,160,15225,2,2,134,3.6,0,41.36617406,1.8,male
65,151,15848,4,4,56,29.68,2,56.33518425,7.42,male
66,102,11881,0,10,67,70.96,8,58.48834273,7.096,male
54,56,6904,9,4,68,40.88,0,43.51100811,10.22,male
74,53,6651,10,8,30,140.08,0,54.48804691,17.51,male
63,112,9858,9,4,172,24.96,61,47.49442078,6.24,male
66,109,10236,9,5,90,48.4,14,50.73270809,9.68,male
53,41,6755,1,3,51,21.68,0,43.87860844,7.226666667,male
37,23,6575,7,2,59,21.44,0,31.69581749,10.72,male
82,96,16338,2,5,44,36.88,26,72.70167707,7.376,male
79,83,12123,8,7,42,19.92,1,68.06071105,2.845714286,male
55,69,11658,4,3,47,8.08,0,42.61451364,2.693333333,male
66,65,10567,2,3,30,21.04,0,51.32014763,7.013333333,male
55,94,13701,0,8,49,28.24,0,45.179184,3.53,male
65,209,15674,7,4,35,15.44,11,56.69261197,3.86,male
68,60,11805,0,2,125,30.48,28,50.24989411,15.24,male
83,50,7784,5,3,34,18.72,0,74.91007194,6.24,male
72,139,11804,11,5,71,107.6,0,56.66723145,21.52,male
74,189,13243,0,1,22,6.24,0,61.08132598,6.24,male
67,54,5681,3,6,46,68.64,0,66.59038902,11.44,male
53,46,6360,0,7,36,105.04,0,48.80503145,15.00571429,male
58,100,13438,3,2,108,14.16,0,51.87527906,7.08,male
75,164,12759,11,5,61,29.2,19,69.89575986,5.84,male
65,81,8693,6,10,25,98.96,4,62.33751294,9.896,male
67,112,13845,2,3,25,23.44,7,63.60418924,7.813333333,male
67,107,10244,4,4,50,48.08,1,59.33229207,12.02,male
62,96,11531,9,7,95,106.08,8,57.18497962,15.15428571,male
86,90,7664,0,4,72,47.36,0,79.14926931,11.84,male
83,77,9919,3,11,64,80.64,0,78.88900091,7.330909091,male
71,55,11146,5,5,42,34.96,0,65.58406603,6.992,male
67,119,16130,0,2,70,8,72,55.133292,4,male
67,57,10334,6,3,76,44.72,0,55.83510741,14.90666667,male
70,112,10506,4,4,73,35.28,0,61.02227299,8.82,male
69,119,14562,11,6,62,30.16,0,60.34885318,5.026666667,male
63,120,15146,12,4,51,45.52,1,55.20929618,11.38,male
60,82,12392,4,5,80,49.52,0,51.80761782,9.904,male
85,97,7750,7,5,27,54.16,0,79.16129032,10.832,male
90,50,7378,7,4,20,51.12,0,81.87855788,12.78,male
72,119,9354,8,3,56,36.16,0,69.38208253,12.05333333,male
73,87,16686,0,12,56,36,0,65.82164689,3,male
70,76,13358,0,16,28,41.12,0,64.87498129,2.57,male
78,38,9548,5,6,30,66,0,64.11813993,11,male
81,60,6949,4,9,25,165.28,0,69.54957548,18.36444444,male
56,76,11587,2,2,98,17.6,0,44.03210495,8.8,male
52,68,11316,2,3,53,21.84,0,42.33828208,7.28,male
76,57,9436,2,9,90,51.92,1,62.51589657,5.768888889,male
78,71,10190,0,8,85,159.76,8,68.46908734,19.97,male
52,123,13701,0,4,40,33.92,0,42.84358806,8.48,male
64,109,12708,2,2,20,16.4,0,56.12999685,8.2,male
54,44,12624,0,2,116,18.16,1,43.47275032,9.08,male
